Temperature[C];Humidity[%];Pressure[hPa];Fire Alarm
14.835269386965773;45.83082178018886;939.848;0
16.266169019532004;35.8850713281093;937.464;0
18.056774318313675;32.57986738999397;937.43;0
-5.736883968284662;30.309423347398024;937.549;0
18.033005221427192;31.65561583283102;937.319;0
-7.805587700638172;30.630902149889486;937.405;0
52.2763508025527;58.00683142455294;931.086;1
5.078847418294334;46.93590516375326;939.769;0
24.140870818023597;82.92143861764114;938.691;1
40.597008895764844;82.13783403656822;938.922;0
11.18750531812029;41.34016475788627;939.633;0
9.748682653258559;83.18264014466546;938.713;1
44.2027808934442;89.2706449668475;939.151;1
48.465372268420026;77.46634518786416;938.698;1
15.767017984915878;38.30620855937311;937.338;0
35.59836782053762;2.9937713482017285;936.681;0
-7.922848578611484;37.26140245127586;937.32;0
11.92355501837169;38.30620855937311;937.383;0
-16.33552426996712;9.533855736387382;936.806;0
18.357849545542447;31.625477195097442;937.409;0
48.60006381744343;66.80731364275668;931.106;1
7.923216012376717;45.629897528631695;939.714;0
46.69853606652484;82.4090817761704;938.778;1
18.38161864242893;30.55053244926662;937.557;0
33.768147360278476;12.085593731163351;936.89;0
35.249754399535874;3.3252963632710473;936.693;0
23.46662076967704;83.4337954591119;939.386;1
18.167696770450593;50.96443640747438;936.942;0
16.72570489267066;30.24914607193088;937.386;0
17.29616321794624;31.705846895720306;937.576;0
39.810251788822285;77.33574442435201;938.749;1
10.80719976793657;37.19107896323086;939.645;0
15.713141365306516;33.865782599959815;937.586;0
15.751964223554435;37.74362065501306;939.662;0
14.529440340359702;77.63713080168777;938.709;1
39.40142332237478;82.53968253968256;938.921;0
15.88586346934829;38.748241912798875;937.452;0
15.957170760007731;37.90436005625878;937.419;0
45.05054534906208;84.75989551938919;939.113;1
-5.042034035969831;36.6284910588708;937.563;0
10.302502610713592;36.26682740606791;937.402;0
11.350719783407467;11.814345991561181;936.778;0
18.23900406111004;31.133212778782394;937.535;1
18.619309611293755;29.917621056861563;937.489;0
46.484614194546495;83.56439622262407;938.692;1
16.24477683233417;42.35483222824995;939.806;0
26.914724424676077;26.361261804299772;936.886;0
8.810595629472058;36.17641149286719;939.631;0
16.85405801585767;46.11211573236889;939.765;0
6.203918004254501;40.40586698814547;939.802;0
4.66684973892864;43.459915611814345;939.815;0
9.872281957068271;41.269841269841265;939.62;0
47.89491394314446;81.48483021900743;938.812;1
0.5944111390446736;37.894313843680926;937.316;0
36.6307389286405;83.25296363271046;938.804;1
-5.8169065944691525;18.886879646373313;936.895;0
41.619872365113125;86.33715089411294;939.468;1
54.9622587507252;49.84930681133213;930.952;1
11.90691665055115;46.11211573236889;939.721;0
46.761920324888806;80.17882258388588;939.132;1
42.48348288532199;0.10046212577858112;936.705;0
43.33600116031714;77.16495881052843;938.69;1
14.25134190678786;83.25296363271046;938.717;1
16.107708373622128;36.56821378340366;937.563;0
3.9387230709727348;38.27606992163954;939.66;0
54.43933861922258;46.08197709463532;930.881;1
12.72695049313479;37.16094032549728;939.637;0
46.65099787275187;81.8264014466546;939.051;1
43.63232256816863;92.706449668475;939.683;1
17.92208276929028;32.17801888687964;937.358;0
44.17108876426222;79.10387783805504;939.671;1
8.702050087023785;39.60216998191681;939.615;0
35.55082962676465;13.863773357444243;936.839;0
10.227233803906397;10.146674703636728;936.872;1
3.711332044092053;34.629294755877034;939.665;0
38.412628891897114;77.38597548724132;938.784;1
44.670239798878356;78.84267631103074;939.696;1
18.769847224908144;29.445449065702224;937.491;0
10.791353703345582;36.216596343178615;939.658;0
-21.781816669889768;1.0849909584086799;936.703;0
10.291410365499903;9.895519389190275;936.891;0
-8.054370914716689;3.044002411091018;936.684;0
16.638551537420224;33.33333333333333;937.322;0
43.572107522722874;77.3658830620856;938.718;1
16.229723070972742;40.04420333534257;939.81;0
10.743815509572617;37.08057062487442;939.582;0
44.472163991491;87.09061683745229;939.135;1
24.355584993231485;35.47317661241711;936.918;0
26.77448675304584;79.67651195499296;939.613;1
17.644776638947985;34.679525818766315;937.32;0
18.484618062270354;56.309021498894914;937.054;0
9.144155289112359;8.860759493670884;936.86;0
48.560448655965956;76.65260196905766;938.86;1
43.74324502030555;80.72131806309022;939.285;1
15.09593714948753;30.520393811533047;937.557;0
11.862547669696387;21.0267229254571;936.859;0
18.159773738155092;31.886678722121754;937.317;0
8.200522142719013;44.46453686960016;939.641;0
46.69853606652484;82.13783403656822;938.902;1
43.5950843163798;82.04741812336748;938.689;1
40.82598452910463;78.41068917018283;938.702;1
28.35671630245601;23.67892304601165;936.848;0
36.843868497389295;80.65099457504522;938.818;1
13.344154708953777;38.939119951778174;939.815;0
48.55252562367046;77.1750050231063;938.694;1
-8.677121253142525;36.57825999598151;937.342;0
6.964529104621931;39.44143058067108;939.833;0
6.085072519822088;40.365682137834035;939.771;0
1.3597760587894037;9.152099658428773;936.832;0
46.524229356023966;83.21277878239903;938.821;1
-6.756578224714753;37.753666867590916;937.336;0
-9.570839296074256;4.199316857544705;936.661;0
9.201201121639912;8.318264014466545;936.871;0
37.88812415393541;12.216194494675504;936.806;0
13.046248694643207;77.72754671488848;938.706;0
16.179015664281568;57.97669278681936;937.062;0
42.05563914136532;84.83021900743421;939.626;0
33.42745697157223;15.009041591320072;936.904;0
49.09921485205956;61.12115732368896;931.086;1
56.634018565074456;45.01707856138235;930.889;0
11.446588474182942;38.999397227245325;939.618;0
28.695029781473604;78.95318464938718;939.097;0
-11.606266292786692;32.077556761101064;937.478;0
6.790222394121063;43.11834438416716;939.783;0
11.889485979501064;17.83202732569821;936.874;1
-7.827772191065556;36.76913803496082;937.408;0
44.432548830013545;80.30942334739804;939.678;1
17.834929414039838;32.48945147679324;937.311;1
23.143361052020882;39.47156921840466;936.892;0
18.23900406111004;30.942334739803087;937.49;0
16.748681686327597;44.34398231866586;939.737;0
46.65099787275187;82.36889692585895;938.916;1
18.278619222587505;31.6355234076753;937.362;0
15.355020305550187;40.29535864978903;939.838;0
47.71268420034808;82.80088406670684;938.714;1
46.524229356023966;83.27305605786619;938.712;1
15.742456584799843;39.03958207755676;939.819;0
42.69819706052988;77.84810126582278;938.988;1
-16.200832720943723;9.624271649588104;936.807;0
17.866621543221815;32.36889692585895;937.344;0
17.589315412879518;34.43841671689773;937.382;0
48.267296461032686;77.37592927466345;939.068;1
2.24794797911429;7.7757685352622055;936.808;0
44.155242699671234;82.1679726743018;939.656;0
47.688915103461596;78.84267631103074;939.094;1
39.35546973506091;78.17962628089211;939.05;1
47.37991684393734;80.74141048824593;939.095;1
32.80946045252368;5.354631303998392;936.826;0
42.816250241732746;84.40827807916415;939.675;1
16.45077567201702;42.887281494876426;939.779;0
9.000748404563915;42.61603375527425;939.687;0
10.989429510732936;36.40747438215792;939.639;0
6.037534326049123;41.40044203335342;939.809;0
16.408783600850906;34.679525818766315;937.313;0
48.58421775285244;76.63250954390196;938.877;1
16.099785341326633;37.20112517580872;937.316;0
7.48744923612454;41.299979907574844;939.748;0
2.999843743956678;38.999397227245325;939.653;0
3.8016546122606876;5.58569419328913;936.808;0
18.825308450976603;29.224432388989346;937.578;0
6.124687681299555;39.68253968253968;939.772;0
-6.648824985496034;33.52421137231263;937.324;0
42.596782247147544;79.9778983323287;938.724;1
16.179015664281568;36.82941531042796;937.299;0
26.458357764455616;77.99879445449065;939.683;1
